"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"175" "Mus_pahari" "Mus_pahari" "Shrew mouse" "Euarchontoglires" "Rodents etc."
"176" "Mus_spicilegus" "Mus_spicilegus" "Steppe mouse" "Euarchontoglires" "Rodents etc."
"177" "Mus_spretus" "Mus_spretus" "Algerian mouse" "Euarchontoglires" "Rodents etc."
"178" "Mustela_putorius_furo" "Mustela_putorius_furo" "Ferret" "Laurasiatheria" "Laurasiatheria"
"179" "Myotis_lucifugus" "Myotis_lucifugus" "Microbat" "Laurasiatheria" "Laurasiatheria"
"180" "Myripristis_murdjan" "Myripristis_murdjan" "Pinecone soldierfish" "Actinopterygii" "Fish"
"181" "Naja_naja" "Naja_naja" "Indian cobra" "Sauropsida" "Reptiles"
"182" "Nannospalax_galili" "Nannospalax_galili" "Upper Galilee mountains blind mole rat
" "Euarchontoglires" "Rodents etc."
"183" "Neogobius_melanostomus" "Neogobius_melanostomus" "Round goby" "Actinopterygii" "Fish"
"184" "Neolamprologus_brichardi" "Neolamprologus_brichardi" "Lyretail cichlid" "Actinopterygii" "Fish"
"185" "Neovison_vison" "Neovison_vison" "American mink" "Laurasiatheria" "Laurasiatheria"
"186" "Nomascus_leucogenys" "Nomascus_leucogenys" "Gibbon" "Primates" "Primates"
"187" "Notamacropus_eugenii" "Notamacropus_eugenii" "Wallaby" "Mammalia" "Other mammals"
"188" "Notechis_scutatus" "Notechis_scutatus" "Mainland tiger snake" "Sauropsida" "Reptiles"
"189" "Nothobranchius_furzeri" "Nothobranchius_furzeri" "Turquoise killifish" "Actinopterygii" "Fish"
"190" "Nothoprocta_perdicaria" "Nothoprocta_perdicaria" "Chilean tinamou" "Aves" "Birds"
"191" "Numida_meleagris" "Numida_meleagris" "Helmeted guineafowl" "Aves" "Birds"
"192" "Ochotona_princeps" "Ochotona_princeps" "Pika" "Euarchontoglires" "Rodents etc."
"193" "Octodon_degus" "Octodon_degus" "Degu" "Euarchontoglires" "Rodents etc."
"194" "Oncorhynchus_kisutch" "Oncorhynchus_kisutch" "Coho salmon" "Actinopterygii" "Fish"
"195" "Oncorhynchus_mykiss" "Oncorhynchus_mykiss" "Rainbow trout" "Actinopterygii" "Fish"
"196" "Oncorhynchus_tshawytscha" "Oncorhynchus_tshawytscha" "Chinook salmon" "Actinopterygii" "Fish"
"197" "Oreochromis_aureus" "Oreochromis_aureus" "Blue tilapia" "Actinopterygii" "Fish"
"198" "Oreochromis_niloticus" "Oreochromis_niloticus" "Nile tilapia" "Actinopterygii" "Fish"
"199" "Ornithorhynchus_anatinus" "Ornithorhynchus_anatinus" "Platypus" "Mammalia" "Other mammals"
"200" "Oryctolagus_cuniculus" "Oryctolagus_cuniculus" "Rabbit" "Euarchontoglires" "Rodents etc."
"201" "Oryzias_javanicus" "Oryzias_javanicus" "Javanese ricefish" "Actinopterygii" "Fish"
"202" "Oryzias_latipes" "Oryzias_latipes" "Japanese medaka HdrR" "Actinopterygii" "Fish"
"203" "Oryzias_latipes_hni" "Oryzias_latipes_hni" "Japanese medaka HNI" "Actinopterygii" "Fish"
"204" "Oryzias_latipes_hsok" "Oryzias_latipes_hsok" "Japanese medaka HSOK" "Actinopterygii" "Fish"
"205" "Oryzias_melastigma" "Oryzias_melastigma" "Indian medaka" "Actinopterygii" "Fish"
"206" "Oryzias_sinensis" "Oryzias_sinensis" "Chinese medaka" "Actinopterygii" "Fish"
"207" "Otolemur_garnettii" "Otolemur_garnettii" "Bushbaby" "Primates" "Primates"
"208" "Otus_sunia" "Otus_sunia" "Oriental scops-owl" "Aves" "Birds"
"209" "Ovis_aries" "Ovis_aries_rambouillet" "Sheep" "Laurasiatheria" "Laurasiatheria"
"210" "Ovis_aries_rambouillet" "Ovis_aries_rambouillet" "Sheep breeds" "Laurasiatheria" "Laurasiatheria"
"211" "Pan_paniscus" "Pan_paniscus" "Bonobo" "Primates" "Primates"
"212" "Pan_troglodytes" "Pan_troglodytes" "Chimpanzee" "Primates" "Primates"
"213" "Panthera_leo" "Panthera_leo" "Lion" "Laurasiatheria" "Laurasiatheria"
"214" "Panthera_pardus" "Panthera_pardus" "Leopard" "Laurasiatheria" "Laurasiatheria"
"215" "Panthera_tigris_altaica" "Panthera_tigris_altaica" "Tiger" "Laurasiatheria" "Laurasiatheria"
"216" "Papio_anubis" "Papio_anubis" "Olive baboon" "Primates" "Primates"
"217" "Parambassis_ranga" "Parambassis_ranga" "Indian glassy fish" "Actinopterygii" "Fish"
"218" "Paramormyrops_kingsleyae" "Paramormyrops_kingsleyae" "Paramormyrops kingsleyae" "Actinopterygii" "Fish"
"219" "Parus_major" "Parus_major" "Great Tit" "Aves" "Birds"
"220" "Pavo_cristatus" "Pavo_cristatus" "Indian peafowl" "Aves" "Birds"
"221" "Pelodiscus_sinensis" "Pelodiscus_sinensis" "Chinese softshell turtle" "Sauropsida" "Reptiles"
"222" "Pelusios_castaneus" "Pelusios_castaneus" "West African mud turtle" "Sauropsida" "Reptiles"
"223" "Periophthalmus_magnuspinnatus" "Periophthalmus_magnuspinnatus" "Periophthalmus magnuspinnatus
" "Actinopterygii" "Fish"
"224" "Peromyscus_maniculatus_bairdii" "Peromyscus_maniculatus_bairdii" "Northern American deer mouse
" "Euarchontoglires" "Rodents etc."
"225" "Petromyzon_marinus" "Petromyzon_marinus" "Lamprey" "Vertebrata" "Other vertebrates"
"226" "Phascolarctos_cinereus" "Phascolarctos_cinereus" "Koala" "Mammalia" "Other mammals"
"227" "Phasianus_colchicus" "Phasianus_colchicus" "Ring-necked pheasant" "Aves" "Birds"
"228" "Phocoena_sinus" "Phocoena_sinus" "Vaquita" "Laurasiatheria" "Laurasiatheria"
"229" "Physeter_catodon" "Physeter_catodon" "Sperm whale" "Laurasiatheria" "Laurasiatheria"
"230" "Piliocolobus_tephrosceles" "Piliocolobus_tephrosceles" "Ugandan red Colobus" "Primates" "Primates"
"231" "Podarcis_muralis" "Podarcis_muralis" "Common wall lizard" "Sauropsida" "Reptiles"
"232" "Poecilia_formosa" "Poecilia_formosa" "Amazon molly" "Actinopterygii" "Fish"
"233" "Poecilia_latipinna" "Poecilia_latipinna" "Sailfin molly" "Actinopterygii" "Fish"
"234" "Poecilia_mexicana" "Poecilia_mexicana" "Shortfin molly" "Actinopterygii" "Fish"
"235" "Poecilia_reticulata" "Poecilia_reticulata" "Guppy" "Actinopterygii" "Fish"
"236" "Pogona_vitticeps" "Pogona_vitticeps" "Central bearded dragon" "Sauropsida" "Reptiles"
"237" "Pongo_abelii" "Pongo_abelii" "Orangutan" "Primates" "Primates"
"238" "Procavia_capensis" "Procavia_capensis" "Hyrax" "Afrotheria" "Afrotheria"
"239" "Prolemur_simus" "Prolemur_simus" "Greater bamboo lemur" "Primates" "Primates"
"240" "Propithecus_coquereli" "Propithecus_coquereli" "Coquerel's sifaka" "Primates" "Primates"
"241" "Pseudonaja_textilis" "Pseudonaja_textilis" "Eastern brown snake" "Sauropsida" "Reptiles"
"242" "Pteropus_vampyrus" "Pteropus_vampyrus" "Megabat" "Laurasiatheria" "Laurasiatheria"
"243" "Pundamilia_nyererei" "Pundamilia_nyererei" "Makobe Island cichlid" "Actinopterygii" "Fish"
"244" "Pygocentrus_nattereri" "Pygocentrus_nattereri" "Red-bellied piranha" "Actinopterygii" "Fish"
"245" "Rattus_norvegicus" "Rattus_norvegicus" "Rat" "Euarchontoglires" "Rodents etc."
"246" "Rhinolophus_ferrumequinum" "Rhinolophus_ferrumequinum" "Greater horseshoe bat" "Laurasiatheria" "Laurasiatheria"
"247" "Rhinopithecus_bieti" "Rhinopithecus_bieti" "Black snub-nosed monkey" "Primates" "Primates"
"248" "Rhinopithecus_roxellana" "Rhinopithecus_roxellana" "Golden snub-nosed monkey" "Primates" "Primates"
"249" "Saccharomyces_cerevisiae" "Saccharomyces_cerevisiae" "Saccharomyces cerevisiae" "Eukaryota" "Other eukaryotes"
"250" "Saimiri_boliviensis_boliviensis" "Saimiri_boliviensis_boliviensis" "Bolivian squirrel monkey
" "Primates" "Primates"
"251" "Salarias_fasciatus" "Salarias_fasciatus" "Jewelled blenny" "Actinopterygii" "Fish"
"252" "Salmo_salar" "Salmo_salar" "Atlantic salmon" "Actinopterygii" "Fish"
"253" "Salmo_trutta" "Salmo_trutta" "Brown trout" "Actinopterygii" "Fish"
"254" "Salvator_merianae" "Salvator_merianae" "Argentine black and white tegu" "Sauropsida" "Reptiles"
"255" "Sander_lucioperca" "Sander_lucioperca" "Pike-perch" "Actinopterygii" "Fish"
"256" "Sarcophilus_harrisii" "Sarcophilus_harrisii" "Tasmanian devil" "Mammalia" "Other mammals"
"257" "Sciurus_vulgaris" "Sciurus_vulgaris" "Eurasian red squirrel" "Euarchontoglires" "Rodents etc."
"258" "Scleropages_formosus" "Scleropages_formosus" "Asian bonytongue" "Actinopterygii" "Fish"
"259" "Scophthalmus_maximus" "Scophthalmus_maximus" "Turbot" "Actinopterygii" "Fish"
"260" "Serinus_canaria" "Serinus_canaria" "Common canary" "Aves" "Birds"
"261" "Seriola_dumerili" "Seriola_dumerili" "Greater amberjack" "Actinopterygii" "Fish"
"262" "Seriola_lalandi_dorsalis" "Seriola_lalandi_dorsalis" "Yellowtail amberjack" "Actinopterygii" "Fish"
"263" "Sinocyclocheilus_anshuiensis" "Sinocyclocheilus_anshuiensis" "Blind barbel" "Actinopterygii" "Fish"
"264" "Sinocyclocheilus_grahami" "Sinocyclocheilus_grahami" "Golden-line barbel" "Actinopterygii" "Fish"
"265" "Sinocyclocheilus_rhinocerous" "Sinocyclocheilus_rhinocerous" "Horned golden-line barbel
" "Actinopterygii" "Fish"
